PSC.0149	PSC.0150	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g9211.t1	0	5	0	6	0	0	1	1
g13886.t1	2	19	1	2	2	0	3	0
g21663.t1	2	31	6	169	35	2	30	27
g773.t1	0	0	0	0	0	0	0	0
g19347.t1	476	115	425	436	487	280	321	167
g13175.t1	12	5	12	19	20	1	18	4
g22032.t1	70	48	48	35	31	18	29	44
g3612.t1	168	48	157	64	85	76	114	56
g21103.t1	0	2	0	1	0	0	0	0
g12426.t1	452	205	298	635	358	213	501	289
g15214.t1	10	15	24	242	185	93	149	111
g11101.t1	2	0	0	0	0	0	0	0
g23006.t1	65	24	29	69	85	22	82	39
g666.t1	0	0	0	0	0	0	0	0
g18622.t1	6	117	10	36	20	2	13	17
g10967.t1	132	47	112	346	136	110	258	137
g12494.t1	851	135	1491	811	789	660	1287	720
g12509.t1	0	1	0	0	0	0	1	0
g7476.t1	11	12	10	15	175	3	11	52
g19750.t1	265	55	422	185	166	180	258	180
g13010.t1	18	8	3	15	22	5	36	4
g1340.t1	53	82	19	60	63	18	50	24
g10116.t1	0	2	1	0	0	0	0	0
g13790.t1	7	33	9	4	22	3	15	43
g2554.t1	277	74	357	179	93	106	145	52
g7553.t1	18	11	7	3	19	5	9	9
g17597.t1	28	18	11	28	16	4	20	10
g955.t1	0	0	0	0	0	0	0	0
g22127.t1	425	260	226	1223	904	39	914	171
g10649.t1	1	2	3	26	13	0	9	0
g7937.t1	5	27	12	17	21	7	21	8
g22397.t1	1	3	0	33	12	1	26	3
g1453.t1	2	5	4	0	0	1	5	5
g8175.t1	14	3	23	17	27	4	6	16
g12709.t1	115	9	138	109	158	122	122	136
g24047.t1	28	11	21	52	37	9	27	14
g8828.t1	3	12	0	46	54	0	29	2
g5010.t1	2	15	5	39	0	4	17	0
g7651.t2	137	26	137	143	196	188	115	139
g15799.t1	2	11	3	2	2	1	1	0
g16710.t1	0	1	0	0	0	0	0	0
g23772.t1	0	4	0	0	0	0	0	0
g18085.t1	0	5	0	14	2	0	7	9
g15915.t2	89	4	1	105	1	4	1	51
g6416.t1	93	31	72	95	78	107	93	71
g14964.t1	1	31	2	1	0	0	6	0
g7153.t1	0	2	0	0	0	0	0	0
g1317.t2	43	124	129	754	529	130	314	363
g13281.t2	27	71	0	45	0	0	0	0
g13167.t1	0	1	0	0	0	0	0	0
g19930.t1	0	0	0	3	0	0	0	0
g15698.t1	79	27	76	86	92	15	65	31
g24086.t1	98	68	80	120	56	15	97	33
g15802.t1	7	17	9	11	4	0	6	1
g7241.t1	0	0	0	0	0	0	0	0
g7192.t1	1	10	0	0	1	0	0	2
