gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231
108	g1042.t1	30.3827987331564	-1.2746701113924	0.459653534617693	-2.77311064833338	0.00555232382847703	0.0232529086390052	19	40	45	28	33	42	24	34	14	20	9	33	28	15	12
109	g10421.t1	748.508568870188	-1.62907721508946	0.383312340973913	-4.24999938940222	2.13771098237319e-05	0.000245224693020382	642	126	1057	465	488	744	718	1438	656	456	316	345	1307	501	907
110	g10422.t1	58.7038958702603	-1.63637766210636	0.636476998517337	-2.57099261390165	0.0101407489708371	0.0370787737001962	65	10	73	97	37	56	63	110	27	21	0	26	127	38	52
111	g10423.t1	221.430710926533	-1.47989183095626	0.425839734906449	-3.47523189981642	0.00051041190582128	0.00341352753707678	232	64	301	291	57	184	241	357	91	89	212	117	362	132	276
112	g10424.t3	134.797352296679	-1.07330206510792	0.43192554453773	-2.48492379920855	0.0129579168323191	0.0447906264047331	91	27	81	111	45	219	188	164	129	138	26	178	222	149	214
113	g10426.t1	189.966325233174	-1.18556129370937	0.312659741609493	-3.79185784395011	0.000149524500603504	0.00124661370734367	217	84	269	136	108	264	171	290	189	78	146	184	176	198	137
114	g10427.t1	355.488617957232	-1.07594124756489	0.348734499274229	-3.08527332341393	0.00203365173375692	0.0104657600522909	441	68	627	306	251	382	376	544	276	238	300	305	367	350	220
115	g1043.t1	54.8343484849584	-1.34773748372866	0.543724113426339	-2.47871567666135	0.0131856366785321	0.0454181260213407	31	131	40	41	65	30	50	32	30	19	14	61	38	43	45
116	g10432.t1	168.879256453451	1.25730674802394	0.292340639132238	4.30082780059602	1.70161254444648e-05	0.000201612198242605	109	56	173	337	247	90	114	27	304	217	332	354	77	452	43
117	g10435.t1	58.9695025682584	0.897733574425661	0.264520146413806	3.39381928596576	0.000689251594214999	0.00437814393448077	64	22	43	121	86	30	46	10	102	83	107	108	47	95	25
118	g10440.t1	121.271194036803	-5.4469398503347	0.912079321803124	-5.97200234686435	2.34359158987227e-09	9.37220037835242e-08	26	16	4	26	2	95	92	96	5	5	2	1	448	2	765
119	g10443.t2	12.2784534901151	-7.34650992805327	2.48118649711621	-2.96088582482285	0.00306755634323304	0.014634723029406	0	0	0	0	0	73	0	0	0	0	0	0	20	0	79
120	g10460.t1	16.7226055968825	-2.03461430063225	0.592908673058132	-3.43158127564236	0.000600073288985401	0.00390518370644132	33	5	26	14	14	15	7	33	3	5	10	5	41	4	5
121	g10461.t2	185.613863484247	-0.730135822260899	0.254875123510946	-2.86468060202644	0.00417430043942236	0.0185939860010094	251	42	145	93	194	314	219	140	267	191	170	120	270	241	212
122	g10466.t1	815.170029894672	-3.0919788331419	0.481587637528982	-6.42038663825922	1.35928661832791e-10	7.38898642902622e-09	337	50	1695	206	213	1120	1228	1636	220	166	168	169	1686	383	1332
123	g10467.t1	1982.18022585313	-3.15831842522444	0.467551565115354	-6.75501626103042	1.42819237432865e-11	9.8404273944587e-10	793	205	2977	400	679	3297	3385	3862	568	419	261	261	3736	1053	3987
124	g10468.t1	2260.17066330985	-1.30412620901016	0.322569108687041	-4.0429358357295	5.27860695134748e-05	0.000525552974654408	1721	442	4000	1188	2020	2577	2821	2750	1671	1183	1339	1199	4599	3529	2271
